player,rw_attacks,outside_attacks,points_gained,points_lost,rw_assist,bonus_hit_respect,total_lost,payout
Transhumanist,73,9,549,94,1,410,2,182M
RUKittenMeRTNow,51,16,231,190,0,70,2,143M
DodgyBarnet,58,0,358,265,1,50,0,132M
Tasty,47,0,333,105,0,20,0,107M
TheBluffBoy,44,2,300,147,1,0,0,104M
Ryukendo,45,0,421,178,1,0,0,103M
Aditya30,22,27,94,187,3,10,1,98.6M
Alexreiger,35,7,237,235,0,160,0,91.3M
TheAlbanian,0,52,0,165,0,0,0,88.5M
saltedpopcorn,38,0,153,457,2,0,0,88.0M
Runite,2,47,0,139,1,0,5,85.4M
baustelac,31,0,141,121,0,30,0,70.3M
BOTViking,0,40,0,91,0,0,0,68.1M
BristolBrick,2,34,7,65,0,0,1,62.4M
thekwebb,1,24,0,147,1,0,1,44.0M
NoirHearts,14,4,106,206,0,0,2,38.6M
Kelpie_,0,17,0,62,0,0,0,28.9M
D_c_D,11,0,45,149,0,0,0,25.0M
mesht,3,10,9,163,0,0,2,23.8M
young-willy,9,0,24,237,0,0,0,20.4M
wajcha,2,7,0,100,0,0,2,16.4M
YangGang,6,0,7,179,0,0,0,13.6M
GeneralKev,5,0,5,371,0,0,0,11.3M
LordTenchi,2,4,0,80,0,0,0,11.3M
GooGooSauce,3,2,11,272,0,0,0,10.2M
112,3,0,0,116,0,0,0,6.8M
Wikali,3,0,11,161,0,0,0,6.8M
Heathcliffe,3,0,9,234,0,0,0,6.8M
Saub777,2,0,3,246,0,0,0,4.5M
AP86,2,0,0,95,0,0,0,4.5M
EndKiri,0,2,0,143,0,0,1,3.4M
busra,0,0,0,120,0,0,0,0
Daredevil1234,0,0,0,254,0,0,0,0
ralphietheax,0,0,0,120,0,0,0,0
microgeniusz80,0,0,0,157,0,0,0,0
Johnny84,0,0,0,177,0,0,0,0
Todd93,0,0,0,195,0,0,0,0
Dustyplok,0,0,0,55,0,0,0,0
Sta_Whi,0,0,0,52,0,0,0,0
Ravensight,0,0,0,42,0,0,0,0
